ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770776778223,2026-02-11 02:26:18,AVAXUSDT,Buy,-0.80244601,,8.711,8.843,5.7,1f472916-ff9a-4ee2-ba18-ebf9028df2d5,
1770780183474,2026-02-11 03:23:03,ETHUSDT,Buy,-0.00714658,,2004.55,2003.4,0.02,a92a0baf-8370-4f79-a0a5-89132a030019,
1770780197250,2026-02-11 03:23:17,XRPUSDT,Buy,0.16182333,,1.4045,1.3984,35.5,89f370de-d310-4951-8c29-0a0bc7c21eef,
1770783886524,2026-02-11 04:24:46,ETHUSDT,Buy,0.23633561,,2000.72,1987.41,0.02,2ef65ace-f8ff-4a77-9b1b-e4e521a6ad75,
1770783942835,2026-02-11 04:25:42,SOLUSDT,Buy,0.2273091,,83.1,82.63,0.6,92f333ad-91e0-4bea-82bf-a2ecb374350c,
1770783981401,2026-02-11 04:26:21,XRPUSDT,Buy,0.04485205,,1.4015,1.3987,35.6,dd5754de-4daa-4064-bb05-a313ae3181e6,
1770784382412,2026-02-11 04:33:02,BTCUSDT,Buy,0.72839516,,68444.6,67665.3,0.001,946f8074-eff5-4bd4-b753-9719b8e8b9f1,
1770785342901,2026-02-11 04:49:02,BNBUSDT,Buy,0.21008537,,615.4,612.2,0.08,3e463746-73b9-4739-9cae-f2fc5ec5a211,
1770785822535,2026-02-11 04:57:02,BTCUSDT,Buy,-0.03348507,,67592.7,67575.5,0.001,c9d417e1-f3ef-41c2-a09b-b810904860bc,
1770785924752,2026-02-11 04:58:44,ETHUSDT,Buy,0.06881292,,1976.08,1971.16,0.02,9cc80d38-af30-44cf-be07-65c78670b4e4,
1770787301250,2026-02-11 05:21:41,LINKUSDT,Buy,-0.07817442,,8.407,8.411,5.9,7af983df-a5f8-465a-abd8-eee69a5d5cde,
1770790572649,2026-02-11 06:16:12,ETHUSDT,Buy,0.48680986,,1978.27,1952.46,0.02,4ef389e0-5483-43e5-844e-5e89185c834d,
1770790610293,2026-02-11 06:16:50,XRPUSDT,Buy,0.7469061,,1.3839,1.3617,36.1,e922cc9a-96dc-4216-9822-2b6d06d0ff38,
1770790618556,2026-02-11 06:16:58,BTCUSDT,Buy,0.58768142,,67559.3,66921.3,0.001,4548d25b-b2b9-4994-9b21-fd5f37abd34d,
1770790618862,2026-02-11 06:16:58,SOLUSDT,Buy,0.6902364,,82.08,80.84,0.6,b6beeee0-830e-4436-a00a-f2fbeca317aa,
1770790621620,2026-02-11 06:17:01,BNBUSDT,Buy,0.843836,,610.8,599.8,0.08,872348b8-e113-4ca4-b0e6-76d7d7990d13,
1770792921570,2026-02-11 06:55:21,BTCUSDT,Buy,0.28016019,,67095.3,66765,0.001,a00bc0d1-65e0-4d00-a797-b421674d8a62,
1770792924628,2026-02-11 06:55:24,ETHUSDT,Buy,-0.00371386,,1951.61,1949.65,0.02,14cee33f-d472-41fd-9f74-efa9384c39b8,
1770793507331,2026-02-11 07:05:07,XRPUSDT,Buy,0.28306514,,1.3711,1.3623,36.4,e17930eb-7a17-4ad3-8292-8bdcd9e46aed,
1770794374735,2026-02-11 07:19:34,ETHUSDT,Buy,-0.12630583,,1948.18,1952.35,0.02,00796d9e-992c-44f7-860c-e2accc75434a,
1770794676799,2026-02-11 07:24:36,SOLUSDT,Buy,0.1557051,,80.89,80.57,0.6,0b73bbe7-c9ea-4b6e-b5b5-5e4ceff99936,
1770795283081,2026-02-11 07:34:43,AVAXUSDT,Buy,-0.17654302,,8.567,8.591,5.8,8a4902a2-41ed-4e04-9fd0-0cbe36d87835,
1770797466696,2026-02-11 08:11:06,ETHUSDT,Buy,0.12099429,,1955.11,1947.51,0.02,4c3d52e9-884d-4605-bdbd-173ff6d2b836,
1770797487209,2026-02-11 08:11:27,XRPUSDT,Buy,-0.08493614,,1.364,1.3648,36.6,2e06155f-0c1d-4b85-bd8e-f9e1c4405c76,
1770798976110,2026-02-11 08:36:16,AVAXUSDT,Buy,-0.10105804,,8.557,8.568,5.8,87372998-f3ca-4cf9-af97-38cc632296a4,
1770800525642,2026-02-11 09:02:05,ETHUSDT,Buy,-0.04807444,,1950.94,1951.88,0.02,a2a8eaeb-245f-4d9e-aa04-68b5ca5760d9,
1770800534523,2026-02-11 09:02:14,LINKUSDT,Buy,-0.0793146,,8.287,8.294,6,b210dc86-cc3e-4653-9184-f0f0b35f3f46,
1770802262896,2026-02-11 09:31:02,ADAUSDT,Buy,-0.1529241,,0.2545,0.255,196,3a7f9370-9a68-45fa-95b2-98a375c92ac5,
1770802262896,2026-02-11 09:31:02,DOGEUSDT,Buy,0.3152613,,0.09101,0.09033,549,2732db03-4f72-4c0d-bf6d-1681eefb493c,
1770804681629,2026-02-11 10:11:21,SOLUSDT,Buy,-0.0243579,,80.81,80.79,0.6,bcd03c49-eddf-4782-8ecf-361f6371fd52,
1770804738259,2026-02-11 10:12:18,XRPUSDT,Buy,-0.05229447,,1.3611,1.3615,36.8,95196c79-67f3-4081-8586-c54d48fdb4fb,
1770804745603,2026-02-11 10:12:25,ETHUSDT,Buy,0.04743413,,1947.2,1943.37,0.02,10e29763-0a59-4738-810b-071c63dddec9,
1770805683368,2026-02-11 10:28:03,BTCUSDT,Buy,-0.20212967,,66713.1,66837.6,0.001,86b5c7d0-cc09-45c2-9bad-2655e3178057,
1770806550221,2026-02-11 10:42:30,XRPUSDT,Buy,0.04401607,,1.3626,1.3599,36.6,1b16a823-706e-4273-87b5-8d3ba5ed64fa,
1770807061408,2026-02-11 10:51:01,LINKUSDT,Buy,0.0829995,,8.237,8.217,6,135ea85c-cc26-4b2b-9efe-dd5e1e7ae8a1,
1770807066921,2026-02-11 10:51:06,ADAUSDT,Buy,0.04359904,,0.2536,0.2531,197,1a641f09-c35a-48f4-a1a6-5d889014b8d5,
1770808735188,2026-02-11 11:18:55,XRPUSDT,Buy,-0.14647304,,1.3642,1.3667,36.6,70fccfea-6ed2-4d0b-8a2e-5f4ac1bdfe7f,
1770810731127,2026-02-11 11:52:11,DOGEUSDT,Buy,-0.10968132,,0.09007,0.0902,555,7df05e8e-bf2d-42bd-a2a8-9b4bd686b10d,
1770811677201,2026-02-11 12:07:57,XRPUSDT,Buy,-0.16019975,,1.3742,1.3771,36.3,69da161a-fb5a-4f21-ba81-ba3caa713a87,
1770812449717,2026-02-11 12:20:49,SOLUSDT,Buy,-0.0485241,,81.15,81.17,0.6,5b2b8446-dd40-43c4-8254-6fd1d8d56663,
1770816098466,2026-02-11 13:21:38,XRPUSDT,Buy,0.1017032,,1.3712,1.3669,36.4,f47b1d91-ba96-438d-ac59-7259fd200de2,
1770816603782,2026-02-11 13:30:03,ADAUSDT,Buy,-0.19212411,,0.2544,0.2551,196,ce850c39-1f98-4fed-89b1-6d50761b15ad,
1770816788481,2026-02-11 13:33:08,TRXUSDT,Buy,-0.18961289,,0.27402,0.27476,182,18c9c42d-09c9-4a42-be38-319a1bbfcc6e,
1770816790626,2026-02-11 13:33:10,BTCUSDT,Buy,-1.10672589,,66593.3,67649.5,0.001,42537e96-9690-4c43-b661-7bec43238075,
1770818124192,2026-02-11 13:55:24,XRPUSDT,Buy,0.06837434,,1.3711,1.3682,36.5,da10a134-f120-4a85-8970-9367a0cf34b6,
1770818431901,2026-02-11 14:00:31,DOGEUSDT,Buy,-0.13189361,,0.09007,0.09024,555,ed915c53-0ab1-45d4-9ef4-ec70ba084c88,
1770818600634,2026-02-11 14:03:20,ETHUSDT,Buy,-0.65405613,,1940.84,1972.07,0.02,0b7b7db9-f13a-4c3c-b869-502d683e3b8c,
1770818849895,2026-02-11 14:07:29,SOLUSDT,Buy,-0.7918659,,81,82.23,0.6,3bf53c12-98a4-4634-a349-eb05794afd59,
1770819021968,2026-02-11 14:10:21,DOGEUSDT,Buy,-0.81301804,,0.09026985,0.09164,553,ceed680e-359f-4bd1-bef9-02a0848cc017,
1770820478253,2026-02-11 14:34:38,AVAXUSDT,Sell,-0.82626432,,8.833,8.692,5.6,48dabe9a-be54-42b5-8c82-f111b953fa39,
1770822357581,2026-02-11 15:05:57,ETHUSDT,Buy,0.01024531,,1944.72,1942.07,0.02,e80f345d-978a-49e4-ae71-0cd60b967370,
1770822367380,2026-02-11 15:06:07,XRPUSDT,Buy,-0.0220129,,1.3654,1.3645,36.6,31d44d3d-613c-4448-ace2-4e6613d16c02,
1770822367381,2026-02-11 15:06:07,BTCUSDT,Buy,0.00016727,,66611.9,66538.5,0.001,9403d986-5451-4efb-9e6a-c895ddc9f407,
1770822367686,2026-02-11 15:06:07,SOLUSDT,Buy,0.1032,,80.13,79.87,0.6,4c52a546-9c53-435c-90ca-21fb09ab4c51,
1770822620656,2026-02-11 15:10:20,ADAUSDT,Buy,0.47464238,,0.2544,0.2517,196,8124fc68-d52f-4c22-94ca-ea82aa6b9454,
1770823062257,2026-02-11 15:17:42,LINKUSDT,Buy,-0.10982471,,8.181,8.19,6.1,9221955a-8da2-457a-9557-aca1c52e1c72,
1770823062563,2026-02-11 15:17:42,BTCUSDT,Buy,-0.12585412,,66016.2,66092.5,0.001,db51e641-c927-4302-aef4-811828654fbd,
1770823069302,2026-02-11 15:17:49,XRPUSDT,Buy,-0.09547381,,1.3516,1.3527,36.9,114c31b8-23d2-4ac4-ad64-f091f1d6a93e,
