datetime,ts,open,high,low,close,volume
2025-10-03 13:30:00+00:00,1759498200000,230.32,230.97,229.14,229.59,141494.6
2025-10-03 13:45:00+00:00,1759499100000,229.59,230.3,229.48,229.56,66701.6
2025-10-03 14:00:00+00:00,1759500000000,229.56,229.56,227.88,228.27,254383.0
2025-10-03 14:15:00+00:00,1759500900000,228.27,229.36,226.84,229.15,555496.0
2025-10-03 14:30:00+00:00,1759501800000,229.15,229.7,228.47,229.25,140718.2
2025-10-03 14:45:00+00:00,1759502700000,229.25,231.0,229.25,230.46,226016.1
2025-10-03 15:00:00+00:00,1759503600000,230.46,230.46,229.43,229.78,98358.5
2025-10-03 15:15:00+00:00,1759504500000,229.78,232.19,229.78,231.16,222319.2
2025-10-03 15:30:00+00:00,1759505400000,231.16,233.96,231.12,233.45,404587.3
2025-10-03 15:45:00+00:00,1759506300000,233.45,235.04,232.98,234.74,314017.0
2025-10-03 16:00:00+00:00,1759507200000,234.74,236.55,234.74,235.23,476597.8
2025-10-03 16:15:00+00:00,1759508100000,235.23,235.9,233.77,235.36,347977.5
2025-10-03 16:30:00+00:00,1759509000000,235.36,236.98,234.91,236.95,296064.7
2025-10-03 16:45:00+00:00,1759509900000,236.95,236.99,233.63,233.84,323716.6
2025-10-03 17:00:00+00:00,1759510800000,233.84,234.0,227.87,233.36,1543713.3
2025-10-03 17:15:00+00:00,1759511700000,233.36,233.46,231.14,231.85,288931.1
2025-10-03 17:30:00+00:00,1759512600000,231.85,232.91,230.9,232.21,226290.6
2025-10-03 17:45:00+00:00,1759513500000,232.21,232.28,229.49,230.0,268119.5
2025-10-03 18:00:00+00:00,1759514400000,230.0,230.87,228.97,230.69,173702.6
2025-10-03 18:15:00+00:00,1759515300000,230.69,233.14,230.62,233.01,149139.7
2025-10-03 18:30:00+00:00,1759516200000,233.01,233.33,232.09,232.55,106518.7
2025-10-03 18:45:00+00:00,1759517100000,232.55,233.57,232.34,233.52,100247.3
2025-10-03 19:00:00+00:00,1759518000000,233.52,233.64,232.69,233.06,56832.4
2025-10-03 19:15:00+00:00,1759518900000,233.06,234.79,233.06,234.55,263432.0
2025-10-03 19:30:00+00:00,1759519800000,234.55,235.49,234.04,234.25,135577.5
2025-10-03 19:45:00+00:00,1759520700000,234.25,234.25,232.84,233.07,209691.9
2025-10-03 20:00:00+00:00,1759521600000,233.07,233.11,230.32,231.8,514831.6
2025-10-03 20:15:00+00:00,1759522500000,231.8,232.97,231.71,232.35,175499.5
2025-10-03 20:30:00+00:00,1759523400000,232.35,233.2,232.35,233.18,64235.3
2025-10-03 20:45:00+00:00,1759524300000,233.18,233.33,232.47,232.88,43703.8
2025-10-03 21:00:00+00:00,1759525200000,232.88,233.32,232.67,233.11,56811.1
2025-10-03 21:15:00+00:00,1759526100000,233.11,233.19,232.56,232.98,22701.1
2025-10-03 21:30:00+00:00,1759527000000,232.98,233.16,231.78,232.23,37410.9
2025-10-03 21:45:00+00:00,1759527900000,232.23,232.76,231.79,232.53,22782.0
2025-10-03 22:00:00+00:00,1759528800000,232.53,232.92,232.49,232.8,31259.3
2025-10-03 22:15:00+00:00,1759529700000,232.8,233.98,232.52,233.42,147228.6
2025-10-03 22:30:00+00:00,1759530600000,233.42,233.73,233.01,233.03,39474.9
2025-10-03 22:45:00+00:00,1759531500000,233.03,233.43,232.75,233.08,98777.1
2025-10-03 23:00:00+00:00,1759532400000,233.08,233.14,232.34,232.46,43603.9
2025-10-03 23:15:00+00:00,1759533300000,232.46,233.19,232.41,232.68,55203.1
2025-10-03 23:30:00+00:00,1759534200000,232.68,233.38,232.21,233.13,39360.7
2025-10-03 23:45:00+00:00,1759535100000,233.13,233.3,232.53,232.72,36167.6
2025-10-04 00:00:00+00:00,1759536000000,232.72,233.76,232.54,233.41,104968.9
2025-10-04 00:15:00+00:00,1759536900000,233.41,233.97,232.27,232.31,82205.3
2025-10-04 00:30:00+00:00,1759537800000,232.31,232.67,231.41,231.61,131433.4
2025-10-04 00:45:00+00:00,1759538700000,231.61,232.09,231.48,231.85,38989.6
2025-10-04 01:00:00+00:00,1759539600000,231.85,232.0,230.88,231.07,88606.8
2025-10-04 01:15:00+00:00,1759540500000,231.07,231.16,230.47,230.53,73318.9
2025-10-04 01:30:00+00:00,1759541400000,230.53,230.86,230.33,230.45,56982.1
2025-10-04 01:45:00+00:00,1759542300000,230.45,230.49,229.37,230.24,185567.4
2025-10-04 02:00:00+00:00,1759543200000,230.24,230.96,228.68,229.29,174134.4
2025-10-04 02:15:00+00:00,1759544100000,229.29,229.4,228.02,229.3,340019.3
2025-10-04 02:30:00+00:00,1759545000000,229.3,229.7,229.11,229.53,47869.1
2025-10-04 02:45:00+00:00,1759545900000,229.53,230.3,229.4,229.76,65693.7
2025-10-04 03:00:00+00:00,1759546800000,229.76,229.97,227.91,228.33,180754.7
2025-10-04 03:15:00+00:00,1759547700000,228.33,228.9,227.81,228.82,122725.1
2025-10-04 03:30:00+00:00,1759548600000,228.82,229.01,228.53,228.94,47803.3
2025-10-04 03:45:00+00:00,1759549500000,228.94,229.32,228.62,229.14,38338.2
2025-10-04 04:00:00+00:00,1759550400000,229.14,229.5,228.97,229.39,44931.5
2025-10-04 04:15:00+00:00,1759551300000,229.39,229.5,228.94,228.97,61074.3
2025-10-04 04:30:00+00:00,1759552200000,228.97,229.82,228.85,229.58,40706.0
2025-10-04 04:45:00+00:00,1759553100000,229.58,229.73,229.32,229.46,36593.1
2025-10-04 05:00:00+00:00,1759554000000,229.46,230.07,229.33,230.03,51123.8
2025-10-04 05:15:00+00:00,1759554900000,230.03,230.19,229.72,229.76,46158.6
2025-10-04 05:30:00+00:00,1759555800000,229.76,229.84,229.25,229.3,33428.2
2025-10-04 05:45:00+00:00,1759556700000,229.3,229.92,229.05,229.9,40084.3
2025-10-04 06:00:00+00:00,1759557600000,229.9,230.09,229.64,229.84,39055.4
2025-10-04 06:15:00+00:00,1759558500000,229.84,230.43,229.8,229.9,82012.3
2025-10-04 06:30:00+00:00,1759559400000,229.9,230.19,229.68,229.72,36681.8
2025-10-04 06:45:00+00:00,1759560300000,229.72,229.85,229.52,229.76,28268.7
2025-10-04 07:00:00+00:00,1759561200000,229.76,229.81,229.46,229.52,22563.1
2025-10-04 07:15:00+00:00,1759562100000,229.52,229.64,229.15,229.33,48444.4
2025-10-04 07:30:00+00:00,1759563000000,229.33,229.51,229.13,229.23,46936.4
2025-10-04 07:45:00+00:00,1759563900000,229.23,229.27,228.64,228.99,67727.9
2025-10-04 08:00:00+00:00,1759564800000,228.99,229.36,228.91,229.11,45890.3
2025-10-04 08:15:00+00:00,1759565700000,229.11,229.18,228.48,228.7,57624.5
2025-10-04 08:30:00+00:00,1759566600000,228.7,228.9,228.11,228.4,59401.0
2025-10-04 08:45:00+00:00,1759567500000,228.4,228.98,228.1,228.79,68149.8
2025-10-04 09:00:00+00:00,1759568400000,228.79,229.29,228.46,229.24,60569.1
2025-10-04 09:15:00+00:00,1759569300000,229.24,229.33,228.78,228.96,18138.9
2025-10-04 09:30:00+00:00,1759570200000,228.96,229.15,228.78,229.07,24680.2
2025-10-04 09:45:00+00:00,1759571100000,229.07,229.1,228.17,228.34,51153.0
2025-10-04 10:00:00+00:00,1759572000000,228.34,229.42,228.18,229.32,63788.0
2025-10-04 10:15:00+00:00,1759572900000,229.32,229.84,229.12,229.79,38425.3
2025-10-04 10:30:00+00:00,1759573800000,229.79,229.81,228.44,228.8,63405.3
2025-10-04 10:45:00+00:00,1759574700000,228.8,229.18,228.48,229.0,58185.1
2025-10-04 11:00:00+00:00,1759575600000,229.0,229.37,228.77,228.91,40457.7
2025-10-04 11:15:00+00:00,1759576500000,228.91,229.33,228.58,229.32,32859.0
2025-10-04 11:30:00+00:00,1759577400000,229.32,229.5,228.52,229.09,34428.6
2025-10-04 11:45:00+00:00,1759578300000,229.09,229.32,228.89,229.08,23761.2
2025-10-04 12:00:00+00:00,1759579200000,229.08,229.36,228.65,228.98,30490.1
2025-10-04 12:15:00+00:00,1759580100000,228.98,228.98,228.55,228.57,32567.5
2025-10-04 12:30:00+00:00,1759581000000,228.57,228.95,228.47,228.58,25425.0
2025-10-04 12:45:00+00:00,1759581900000,228.58,228.59,227.71,228.0,97304.9
2025-10-04 13:00:00+00:00,1759582800000,228.0,229.74,227.75,228.96,163120.2
2025-10-04 13:15:00+00:00,1759583700000,228.96,229.37,228.72,228.73,67433.5
2025-10-04 13:30:00+00:00,1759584600000,228.73,229.53,228.68,229.2,49141.2
2025-10-04 13:45:00+00:00,1759585500000,229.2,229.48,228.6,228.67,42294.7
2025-10-04 14:00:00+00:00,1759586400000,228.67,229.32,228.24,229.29,70266.7
2025-10-04 14:15:00+00:00,1759587300000,229.29,229.37,228.63,228.78,31228.7
2025-10-04 14:30:00+00:00,1759588200000,228.78,228.83,228.34,228.34,28573.4
2025-10-04 14:45:00+00:00,1759589100000,228.34,228.43,226.5,226.7,226698.2
2025-10-04 15:00:00+00:00,1759590000000,226.7,227.45,226.43,226.56,165178.5
2025-10-04 15:15:00+00:00,1759590900000,226.56,226.64,224.03,224.81,573559.8
2025-10-04 15:30:00+00:00,1759591800000,224.81,225.4,224.53,225.14,209772.1
2025-10-04 15:45:00+00:00,1759592700000,225.14,225.86,224.39,224.74,155860.3
2025-10-04 16:00:00+00:00,1759593600000,224.74,225.3,224.53,224.68,94613.6
2025-10-04 16:15:00+00:00,1759594500000,224.68,225.02,224.04,224.58,125108.6
2025-10-04 16:30:00+00:00,1759595400000,224.58,225.66,224.56,225.19,265542.7
2025-10-04 16:45:00+00:00,1759596300000,225.19,225.69,224.7,225.61,80547.7
2025-10-04 17:00:00+00:00,1759597200000,225.61,226.51,225.35,226.09,127003.5
2025-10-04 17:15:00+00:00,1759598100000,226.09,226.91,225.91,226.82,83973.2
2025-10-04 17:30:00+00:00,1759599000000,226.82,227.0,225.74,226.2,111715.0
2025-10-04 17:45:00+00:00,1759599900000,226.2,226.49,225.98,226.48,49774.3
2025-10-04 18:00:00+00:00,1759600800000,226.48,226.93,226.37,226.76,39058.8
2025-10-04 18:15:00+00:00,1759601700000,226.76,226.9,226.47,226.65,43128.7
